Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,Attrition_numeric
35,no,,817.0,,1,3,,"1369,0",4,male,60.0,2,2,laboratory_technician,4,,5363.0,10846,0,no,12,3.0,2,1,10.0,0,3.0,9,0,0,1988,no,
55,yes,,,,13,4,,,1,female,85.0,4,4,sales_executive,3,,,9277,6,,17,3.0,3,0,,2,2.0,19,3,8,1968,yes,
34,no,,,,29,3,,"1377,0",2,female,86.0,3,2,laboratory_technician,3,,,17491,4,,13,3.0,1,2,10.0,1,3.0,8,7,7,1989,no,
43,no,,930.0,,6,3,medical,"1402,0",1,male,73.0,2,2,research_scientist,3,single,4081.0,20003,1,yes,14,3.0,1,0,20.0,3,1.0,20,1,8,1980,no,
42,no,travel_rarely,1147.0,,10,3,human_resources,"1408,0",3,male,31.0,3,4,manager,1,married,,16616,0,,14,3.0,3,1,21.0,5,3.0,20,0,9,1981,no,
26,no,travel_rarely,652.0,,7,3,,"1417,0",3,female,100.0,4,1,laboratory_technician,1,single,3578.0,23577,0,no,12,3.0,4,0,8.0,2,3.0,7,0,7,1997,yes,
29,yes,,337.0,,14,1,other,"1421,0",3,male,84.0,3,3,healthcare_representative,4,single,,22930,0,yes,12,3.0,1,0,,1,3.0,8,7,7,1994,yes,
54,no,,971.0,research_and_development,1,3,,"1422,0",4,male,54.0,3,4,research_director,4,,17328.0,5652,6,,19,3.0,4,0,29.0,3,2.0,20,12,7,1969,no,
55,no,,1136.0,,1,4,,"1424,0",2,female,81.0,4,4,research_director,4,divorced,,12414,2,no,13,3.0,4,2,31.0,4,4.0,7,0,0,1968,yes,
40,no,non_travel,663.0,,9,4,other,,3,female,81.0,3,2,laboratory_technician,3,,,23099,3,no,11,3.0,3,2,11.0,2,,8,0,7,1983,yes,
31,no,,326.0,,8,2,,,1,female,31.0,3,3,sales_executive,4,divorced,10793.0,8386,1,,18,,1,1,13.0,5,3.0,13,9,9,1992,yes,
46,yes,,377.0,,9,3,marketing,"1457,0",1,female,52.0,3,3,sales_executive,4,divorced,,15986,4,no,11,3.0,1,1,28.0,1,4.0,7,4,3,1977,yes,
45,no,travel_rarely,1038.0,,20,3,medical,"1460,0",2,female,95.0,1,3,healthcare_representative,1,,10851.0,19863,2,yes,18,3.0,2,1,,2,3.0,7,0,7,1978,no,
49,no,travel_rarely,1490.0,,7,4,life_sciences,"1484,0",3,female,35.0,3,3,healthcare_representative,2,divorced,10466.0,20948,3,,14,3.0,2,2,29.0,3,3.0,8,0,7,1974,no,
29,no,travel_rarely,1246.0,,19,3,,"1497,0",3,female,77.0,2,2,sales_executive,3,,,23757,1,,14,3.0,3,2,10.0,3,3.0,10,0,4,1994,yes,
29,yes,,224.0,,1,4,technical_degree,"1522,0",1,female,100.0,2,1,research_scientist,1,single,2362.0,7568,6,no,13,3.0,3,0,,2,1.0,9,0,7,1994,yes,
29,no,,441.0,,8,1,other,"1544,0",3,male,39.0,1,2,healthcare_representative,1,,,7288,3,no,13,3.0,3,1,9.0,3,3.0,7,0,7,1994,yes,
40,no,travel_rarely,898.0,human_resources,6,2,,,3,female,38.0,3,4,manager,4,single,,17381,1,yes,21,4.0,4,0,21.0,2,3.0,21,7,7,1983,yes,
48,no,,,sales,16,4,life_sciences,,3,male,96.0,3,2,sales_executive,3,divorced,6439.0,13693,8,no,14,3.0,3,1,18.0,2,,8,7,7,1975,yes,
53,yes,,607.0,,2,5,,"1572,0",3,male,78.0,2,3,manufacturing_director,4,married,,14618,0,,16,3.0,2,1,,4,3.0,33,1,9,1970,yes,
44,no,,1313.0,,7,3,medical,"1608,0",2,male,31.0,3,5,research_director,4,,,3549,0,yes,14,,4,1,,4,2.0,22,1,10,1979,no,
45,no,,1015.0,,5,5,,"1611,0",3,male,50.0,1,2,laboratory_technician,1,,5769.0,23447,1,,14,3.0,1,0,10.0,3,3.0,10,1,4,1978,no,
45,no,non_travel,,,26,3,marketing,"1612,0",1,female,52.0,2,2,sales_executive,1,,4385.0,24162,1,,15,,1,1,10.0,2,,10,4,5,1978,no,
34,no,travel_frequently,426.0,,10,4,,"1615,0",3,female,42.0,4,2,manufacturing_director,4,,,17000,1,,13,3.0,1,1,9.0,3,,9,7,2,1989,yes,
39,no,,1387.0,research_and_development,10,5,medical,,2,female,76.0,3,2,manufacturing_director,1,,,3835,2,,13,3.0,4,3,,3,3.0,7,7,7,1984,no,
27,no,,1302.0,research_and_development,36,3,,"1619,0",36,female,,2,1,laboratory_technician,1,divorced,4066.0,16290,1,no,11,3.0,1,2,7.0,3,3.0,7,0,7,1996,yes,
45,no,travel_rarely,1329.0,,2,2,,"1635,0",4,male,59.0,2,2,manufacturing_director,4,divorced,,5388,1,,19,3.0,1,2,10.0,3,3.0,10,3,9,1978,yes,
44,no,,602.0,,1,5,,"1642,0",1,female,37.0,3,2,human_resources,4,married,,10503,4,yes,11,3.0,3,0,14.0,3,3.0,10,0,2,1979,yes,
25,no,,772.0,,2,1,life_sciences,"1653,0",4,female,77.0,4,2,manufacturing_director,3,divorced,5206.0,4973,1,,17,3.0,3,2,7.0,6,3.0,7,0,7,1998,no,
49,no,,809.0,,1,3,,,3,female,36.0,3,4,manager,3,single,,22384,4,,14,3.0,1,0,23.0,2,3.0,8,0,0,1974,yes,
48,yes,travel_frequently,,,7,2,,"1691,0",4,male,95.0,3,1,sales_representative,3,,2655.0,11740,2,,11,,3,2,19.0,3,3.0,9,7,7,1975,no,
26,no,,786.0,,7,3,medical,"1693,0",4,female,76.0,3,1,laboratory_technician,4,,2570.0,11925,1,no,20,4.0,3,0,7.0,5,3.0,7,5,7,1997,yes,
44,no,travel_rarely,921.0,,2,3,life_sciences,"1703,0",3,male,96.0,4,3,healthcare_representative,4,,,14810,1,,19,,2,1,,2,3.0,8,6,7,1979,yes,
36,no,,530.0,,2,4,,,3,male,51.0,3,2,sales_representative,4,single,4502.0,7439,3,,15,,3,0,17.0,2,2.0,13,6,7,1987,yes,
46,no,,717.0,research_and_development,13,4,,"1727,0",3,female,34.0,3,2,healthcare_representative,2,single,,9697,6,no,14,3.0,4,0,19.0,3,3.0,10,0,9,1977,yes,
35,no,,1370.0,,27,4,life_sciences,"1728,0",4,female,49.0,3,2,manufacturing_director,3,married,,5151,2,,16,3.0,2,1,17.0,3,3.0,7,0,7,1988,yes,
30,no,travel_frequently,1312.0,,2,4,,"1745,0",4,male,78.0,2,1,research_scientist,1,,4968.0,26427,0,,16,3.0,4,0,10.0,2,,9,0,7,1993,no,
30,no,,979.0,,15,2,marketing,"1754,0",3,female,94.0,2,3,sales_executive,1,,,3088,2,no,11,3.0,1,1,,2,3.0,7,1,7,1993,yes,
33,no,non_travel,1283.0,,2,3,marketing,"1756,0",4,male,62.0,3,2,sales_executive,2,,5147.0,10697,8,no,15,3.0,4,0,13.0,2,2.0,11,1,7,1990,yes,
32,no,,953.0,,5,4,,"1764,0",2,female,65.0,3,1,research_scientist,2,single,2718.0,17674,2,no,14,3.0,2,0,12.0,3,3.0,7,0,7,1991,yes,
43,no,travel_rarely,244.0,,2,3,life_sciences,"1778,0",2,female,97.0,3,1,human_resources,4,,3539.0,5033,0,no,13,3.0,2,0,,5,3.0,9,1,8,1980,no,
31,no,travel_rarely,196.0,,29,4,marketing,,1,male,91.0,2,2,sales_executive,4,,5468.0,13402,1,,14,3.0,1,2,,3,3.0,12,5,7,1992,yes,
35,yes,,303.0,,27,3,,"1797,0",3,female,84.0,3,2,sales_executive,4,,5813.0,13492,1,,18,3.0,4,0,,2,3.0,10,7,7,1988,no,
35,no,non_travel,1180.0,research_and_development,2,2,medical,"1804,0",2,female,90.0,3,2,manufacturing_director,4,divorced,,24442,2,no,14,3.0,3,1,15.0,6,3.0,7,1,7,1988,no,
30,no,,1092.0,,10,3,medical,"1816,0",1,male,64.0,3,3,manufacturing_director,3,single,9667.0,2739,9,no,14,3.0,2,0,9.0,3,3.0,7,0,2,1993,no,
46,yes,travel_rarely,261.0,,19,2,medical,"1821,0",4,male,66.0,3,2,healthcare_representative,2,married,,10842,4,no,22,4.0,4,1,13.0,2,4.0,9,3,7,1977,no,
45,no,non_travel,589.0,,2,4,,,3,male,67.0,3,2,sales_executive,3,married,5154.0,19665,4,,22,4.0,2,2,10.0,3,4.0,8,5,7,1978,no,
43,no,travel_frequently,1422.0,,2,4,life_sciences,"1849,0",1,female,92.0,3,2,sales_executive,4,married,5675.0,19246,1,,20,4.0,3,1,7.0,5,3.0,7,7,7,1980,no,
46,yes,,,,10,3,life_sciences,"1869,0",3,male,64.0,3,3,sales_executive,2,,7314.0,14011,5,,21,4.0,3,3,14.0,2,3.0,8,0,7,1977,yes,
40,no,travel_rarely,1137.0,research_and_development,1,4,,,1,female,98.0,3,4,manager,1,,,18991,2,,11,3.0,1,1,22.0,3,,19,11,16,1983,yes,
27,no,travel_rarely,511.0,sales,2,2,,"1898,0",1,male,89.0,4,2,sales_executive,3,single,,26997,0,no,14,3.0,2,0,9.0,5,2.0,8,0,7,1996,no,
42,no,,1396.0,,6,3,medical,"1911,0",3,female,83.0,3,3,research_director,1,married,,14842,9,no,13,3.0,2,1,18.0,3,4.0,13,5,7,1981,yes,
26,no,travel_frequently,1096.0,,6,3,other,,3,female,61.0,4,1,laboratory_technician,4,married,,7102,0,no,18,3.0,1,1,8.0,3,3.0,7,7,7,1997,yes,
28,no,travel_frequently,,,1,2,life_sciences,"1927,0",3,female,42.0,2,2,sales_executive,4,married,,19255,1,,12,3.0,3,1,7.0,2,3.0,7,0,7,1995,yes,
47,no,,1169.0,,14,4,,"1934,0",3,female,64.0,3,2,research_scientist,2,married,,2125,8,,18,3.0,3,1,,4,4.0,8,1,7,1976,no,
34,no,travel_rarely,1239.0,,13,4,medical,"1951,0",4,female,39.0,3,3,sales_executive,3,divorced,,22914,1,no,18,3.0,3,1,9.0,2,2.0,8,1,1,1989,yes,
26,no,,157.0,research_and_development,1,3,medical,"1952,0",3,female,95.0,3,1,laboratory_technician,1,single,,20006,0,no,13,3.0,4,0,8.0,6,,7,7,6,1997,yes,
27,no,travel_rarely,954.0,,9,3,,"1965,0",4,female,44.0,3,2,sales_executive,4,,,5099,1,,14,3.0,1,0,,5,,7,0,7,1996,no,
31,yes,travel_frequently,754.0,sales,26,4,marketing,"1967,0",1,female,63.0,3,2,sales_executive,4,,,21075,1,yes,11,3.0,3,0,10.0,4,3.0,10,0,8,1992,yes,
33,no,travel_frequently,1303.0,,7,2,life_sciences,,4,female,,3,2,healthcare_representative,3,divorced,,18079,1,,20,,3,3,9.0,2,3.0,9,2,8,1990,yes,
31,no,,697.0,,10,3,,"1979,0",3,male,40.0,3,3,research_director,3,married,,26862,4,no,20,4.0,3,1,13.0,2,4.0,11,4,8,1992,yes,
35,no,,1395.0,,9,4,medical,"2008,0",2,female,48.0,3,2,research_scientist,3,,5098.0,18698,1,no,19,3.0,2,0,10.0,5,3.0,10,0,8,1988,yes,
33,no,travel_rarely,501.0,,15,2,,"2009,0",2,male,95.0,3,2,healthcare_representative,4,married,,21653,0,yes,13,,1,1,,6,3.0,9,8,1,1990,yes,
39,no,travel_rarely,116.0,,24,1,life_sciences,"2014,0",1,female,52.0,3,2,research_scientist,4,single,,5340,7,no,13,,1,0,,2,3.0,7,1,7,1984,no,
41,no,travel_rarely,582.0,,28,4,life_sciences,"2034,0",1,male,60.0,2,4,manufacturing_director,2,married,13570.0,5640,0,no,23,,3,1,21.0,3,3.0,20,0,10,1982,yes,
34,no,,704.0,sales,28,3,marketing,"2035,0",4,male,95.0,2,2,sales_executive,3,married,6712.0,8978,1,no,21,4.0,4,2,8.0,2,3.0,8,1,7,1989,no,
38,no,travel_rarely,,,10,2,,,1,male,100.0,3,2,sales_executive,4,married,,5982,1,no,11,3.0,3,1,10.0,1,3.0,10,1,9,1985,yes,
39,no,travel_rarely,613.0,,6,1,,"2062,0",4,female,42.0,2,3,healthcare_representative,1,,9991.0,21457,4,,15,3.0,1,1,,5,3.0,7,1,7,1984,yes,
34,no,travel_rarely,419.0,,7,4,,"28,0",1,male,53.0,3,3,research_director,2,single,,21293,0,no,11,,3,0,,4,3.0,12,2,11,1989,no,
44,no,travel_rarely,477.0,,7,4,medical,,1,male,42.0,2,3,healthcare_representative,4,married,10248.0,2094,3,,14,,4,1,24.0,4,3.0,22,5,17,1979,yes,
46,no,,1211.0,,5,4,,"62,0",1,female,98.0,3,2,sales_executive,4,single,,20445,4,,21,,3,0,14.0,4,3.0,9,0,8,1977,yes,
41,no,travel_frequently,857.0,research_and_development,10,3,life_sciences,"199,0",4,female,91.0,2,4,manager,1,divorced,,12888,4,,13,3.0,2,1,,2,2.0,7,7,7,1982,no,
39,no,,505.0,research_and_development,2,4,,"343,0",3,male,64.0,3,3,healthcare_representative,3,single,10938.0,6420,0,no,25,4.0,4,0,20.0,1,3.0,19,11,8,1984,no,
42,no,travel_rarely,269.0,,2,3,medical,"351,0",4,male,56.0,2,1,laboratory_technician,1,divorced,2593.0,8007,0,yes,11,3.0,3,1,10.0,4,3.0,9,7,8,1981,yes,
33,no,travel_frequently,553.0,research_and_development,5,4,,"428,0",4,male,74.0,3,3,manager,2,married,11878.0,23364,6,,11,,2,2,12.0,2,3.0,10,8,8,1990,yes,
35,no,travel_rarely,1296.0,,5,4,technical_degree,"464,0",3,female,62.0,3,3,manufacturing_director,2,single,8095.0,18264,0,no,13,3.0,4,0,17.0,5,3.0,16,0,13,1988,yes,
33,yes,travel_rarely,1277.0,,15,1,medical,,2,female,56.0,3,3,manager,3,married,,24619,7,,12,3.0,4,0,15.0,2,4.0,7,7,7,1990,yes,
40,no,travel_rarely,302.0,,6,3,life_sciences,,2,male,75.0,3,4,manufacturing_director,3,single,,20364,7,no,15,3.0,3,0,22.0,3,3.0,20,5,13,1983,no,
41,no,travel_rarely,427.0,,10,4,human_resources,"731,0",2,female,73.0,2,5,manager,4,divorced,,8861,3,no,15,3.0,2,3,23.0,2,2.0,21,12,6,1982,no,
27,no,,975.0,,7,3,,"764,0",4,male,55.0,2,2,healthcare_representative,1,,,23398,8,no,19,3.0,1,0,,2,1.0,7,0,7,1996,no,
52,no,travel_rarely,621.0,,3,4,marketing,,3,female,31.0,2,4,manager,1,,16856.0,10084,1,,11,3.0,1,0,,3,4.0,34,1,16,1971,yes,
51,no,travel_rarely,1318.0,,26,4,marketing,"851,0",1,male,66.0,3,4,manager,3,married,,5594,2,no,14,3.0,3,1,,2,2.0,20,4,17,1972,no,
47,no,travel_rarely,249.0,,2,2,marketing,"903,0",3,male,35.0,3,2,sales_executive,4,,4537.0,17783,0,,22,4.0,1,1,8.0,2,3.0,7,7,7,1976,yes,
50,no,non_travel,881.0,research_and_development,2,4,,"905,0",1,female,98.0,3,4,manager,1,divorced,17924.0,4544,1,,11,3.0,4,1,31.0,3,3.0,31,14,7,1973,no,
35,no,travel_rarely,1137.0,research_and_development,21,1,life_sciences,"942,0",4,male,51.0,3,2,healthcare_representative,4,married,4014.0,19170,1,,25,4.0,4,1,10.0,2,1.0,10,0,7,1988,yes,
39,no,travel_rarely,466.0,,1,1,,"1026,0",4,male,65.0,2,4,manufacturing_director,4,married,12742.0,7060,1,no,16,3.0,3,1,,3,3.0,21,11,8,1984,yes,
39,no,travel_frequently,945.0,,22,3,medical,,4,male,82.0,3,3,manufacturing_director,1,single,,5083,1,,13,3.0,3,0,,2,3.0,21,2,8,1984,no,
41,no,,509.0,,7,2,,"1085,0",2,male,43.0,4,1,research_scientist,3,,3376.0,18863,1,no,13,3.0,3,0,,3,3.0,10,0,8,1982,no,
44,yes,,1376.0,human_resources,1,2,medical,,2,female,91.0,2,3,human_resources,1,married,10482.0,2326,9,no,14,,4,1,24.0,1,3.0,20,3,6,1979,yes,
42,no,,469.0,,2,2,medical,"1109,0",4,female,35.0,3,4,manager,1,,,14399,0,no,17,3.0,4,1,23.0,3,3.0,22,13,7,1981,no,
52,no,travel_rarely,994.0,,7,4,life_sciences,"1118,0",2,female,87.0,3,3,healthcare_representative,2,single,,15322,7,,19,3.0,4,0,18.0,4,,8,4,0,1971,yes,
38,no,,433.0,,1,3,,"1152,0",3,female,37.0,4,1,human_resources,3,,,6004,1,no,13,3.0,4,1,7.0,2,4.0,7,5,0,1985,yes,
46,no,,991.0,human_resources,1,2,life_sciences,,4,male,44.0,3,1,human_resources,1,,,22957,6,,12,3.0,3,0,10.0,3,4.0,7,5,7,1977,yes,
35,no,,482.0,,4,4,life_sciences,"1350,0",3,female,87.0,3,2,research_scientist,3,single,4249.0,2690,1,,11,3.0,2,0,,3,3.0,9,1,1,1988,no,
28,no,travel_rarely,1083.0,research_and_development,29,1,life_sciences,"1514,0",3,female,96.0,1,2,manufacturing_director,2,married,6549.0,3173,1,,14,,2,2,8.0,2,2.0,8,1,7,1995,yes,
44,no,,136.0,,28,3,life_sciences,"1523,0",4,female,32.0,3,4,research_director,1,married,,22074,3,no,13,3.0,3,1,,1,4.0,20,14,17,1979,yes,
50,no,,333.0,,22,5,,"1539,0",3,female,88.0,1,4,research_director,4,,14411.0,24450,1,,13,3.0,4,0,,2,3.0,32,13,9,1973,no,
55,no,travel_rarely,685.0,,23,5,marketing,,3,female,60.0,2,5,manager,4,,19586.0,23037,1,no,21,4.0,3,1,36.0,3,3.0,36,2,13,1968,yes,
39,no,,1462.0,sales,6,3,,"1588,0",4,female,38.0,4,3,sales_executive,3,married,8237.0,4658,2,no,11,3.0,1,1,11.0,3,3.0,7,7,6,1984,yes,
49,no,,722.0,research_and_development,13,4,,"1617,0",13,male,84.0,3,1,laboratory_technician,1,,3211.0,22102,1,,14,3.0,4,1,10.0,3,2.0,9,1,4,1974,yes,
45,no,,,,28,2,technical_degree,"1719,0",4,male,48.0,2,4,research_director,2,single,16704.0,17119,1,,11,,3,0,21.0,2,3.0,21,8,6,1978,no,
46,no,,1277.0,,2,3,,,3,female,74.0,3,3,sales_executive,4,,,5596,4,,12,3.0,2,1,,5,2.0,10,0,3,1977,no,
27,no,,1131.0,,15,3,,"1870,0",4,male,77.0,2,1,research_scientist,1,married,4774.0,23844,0,no,19,3.0,4,1,,2,,7,7,3,1996,no,
42,no,travel_rarely,300.0,,2,3,,"2031,0",1,female,56.0,3,5,manager,3,married,,17312,5,,11,3.0,1,0,24.0,2,2.0,22,4,14,1981,yes,
49,no,,1023.0,sales,2,3,,"2065,0",4,female,63.0,2,2,sales_executive,2,married,,13243,2,,14,3.0,4,0,17.0,3,2.0,9,0,8,1974,yes,
29,no,travel_rarely,153.0,,15,2,life_sciences,"15,0",4,male,49.0,2,2,laboratory_technician,3,single,,12682,0,yes,12,3.0,4,0,10.0,3,3.0,9,0,8,1994,yes,
34,no,non_travel,1065.0,,12,4,marketing,"60,0",12,female,72.0,3,2,sales_executive,3,,4568.0,10034,0,no,20,4.0,3,0,,2,3.0,9,8,7,1989,no,
37,no,,1115.0,,1,4,,,1,female,51.0,2,2,manufacturing_director,3,divorced,5993.0,2689,1,no,18,3.0,3,1,,2,,7,0,7,1986,no,
36,no,,1195.0,,11,3,,"85,0",2,female,95.0,2,2,manufacturing_director,2,single,6499.0,22656,1,no,13,3.0,3,0,6.0,3,3.0,6,0,3,1987,yes,
45,no,,1316.0,,29,3,,,3,female,83.0,3,1,research_scientist,4,single,3452.0,9752,5,,13,3.0,2,0,9.0,2,2.0,6,0,3,1978,yes,
29,no,travel_rarely,665.0,,15,3,,"346,0",3,female,60.0,3,1,research_scientist,4,,,22673,1,no,19,3.0,1,0,6.0,1,3.0,6,1,5,1994,no,
26,no,,1479.0,,1,3,,"384,0",3,male,84.0,3,2,manufacturing_director,2,,6397.0,26767,1,no,20,4.0,1,1,6.0,6,1.0,6,1,4,1997,no,
28,no,,304.0,,9,4,life_sciences,"498,0",2,female,92.0,3,2,sales_executive,4,single,,20750,1,no,16,3.0,4,0,,1,3.0,7,0,7,1995,yes,
42,no,travel_frequently,1368.0,,30,4,technical_degree,"551,0",4,male,,2,2,healthcare_representative,4,married,,4386,0,no,11,3.0,4,3,7.0,4,4.0,6,0,4,1981,yes,
31,no,travel_rarely,828.0,sales,2,1,life_sciences,"604,0",2,female,77.0,3,2,sales_executive,4,,,8346,4,yes,13,3.0,3,0,10.0,2,4.0,6,0,5,1992,yes,
37,no,non_travel,142.0,,9,4,,"626,0",1,female,69.0,3,3,sales_executive,2,divorced,,24666,1,no,13,3.0,4,1,9.0,6,3.0,9,7,7,1986,no,
37,no,travel_rarely,446.0,,1,4,life_sciences,,2,male,65.0,3,2,manufacturing_director,2,married,,15701,6,,12,3.0,2,1,8.0,2,2.0,6,4,3,1986,no,
24,no,travel_rarely,691.0,,23,3,medical,,2,female,89.0,4,1,research_scientist,4,,2725.0,21630,1,,11,3.0,2,2,,3,3.0,6,1,4,1999,yes,
50,no,,1246.0,,3,3,,"644,0",1,female,99.0,3,5,manager,2,married,,7999,1,no,11,3.0,3,1,,2,3.0,32,10,7,1973,no,
34,no,,254.0,,1,2,life_sciences,"649,0",2,female,83.0,2,1,research_scientist,4,,3622.0,22794,1,yes,13,3.0,4,1,6.0,3,3.0,6,1,3,1989,yes,
27,no,travel_frequently,1410.0,,3,1,medical,"714,0",4,male,71.0,4,2,sales_executive,4,,,16673,1,,20,,2,2,,3,3.0,6,0,4,1996,no,
25,no,,883.0,sales,42,1,,"781,0",42,male,32.0,3,2,sales_executive,4,single,6180.0,22807,1,no,23,4.0,2,0,6.0,5,2.0,6,1,4,1998,no,
34,no,,304.0,sales,25,3,other,,4,female,60.0,3,2,sales_executive,4,single,6274.0,18686,1,no,22,4.0,3,0,6.0,5,3.0,6,1,4,1989,yes,
34,no,,121.0,research_and_development,2,4,,"804,0",3,male,86.0,2,1,research_scientist,1,,4381.0,7530,1,,11,,3,0,6.0,3,3.0,6,1,3,1989,yes,
35,no,,950.0,,7,3,other,,3,female,59.0,3,3,manufacturing_director,3,single,,18869,3,no,21,4.0,2,0,17.0,3,4.0,8,1,6,1988,no,
35,no,,1343.0,,16,1,medical,"856,0",16,male,53.0,2,1,research_scientist,1,,2559.0,17852,1,,11,3.0,4,0,6.0,3,2.0,6,1,1,1988,no,
33,no,,827.0,research_and_development,1,4,,"998,0",3,male,84.0,4,2,healthcare_representative,2,married,5488.0,20161,1,yes,13,3.0,1,1,,2,3.0,6,1,2,1990,yes,
29,no,,1107.0,,28,4,life_sciences,"1120,0",3,male,93.0,3,1,research_scientist,4,divorced,2514.0,26968,4,no,22,4.0,1,1,11.0,1,3.0,7,1,7,1994,no,
29,no,travel_frequently,490.0,research_and_development,10,3,,"1143,0",4,male,61.0,3,1,research_scientist,2,divorced,,17940,0,no,14,3.0,4,2,8.0,2,2.0,7,1,1,1994,yes,
34,no,,1400.0,,9,1,life_sciences,,2,male,70.0,3,2,sales_executive,3,married,,5829,1,,20,4.0,1,0,,3,2.0,6,1,3,1989,no,
28,no,travel_rarely,1179.0,,19,4,medical,,4,female,78.0,2,1,laboratory_technician,1,married,3196.0,12449,1,,12,3.0,3,3,6.0,2,3.0,6,3,3,1995,no,
44,no,,1117.0,,2,1,life_sciences,,1,male,72.0,4,1,research_scientist,4,married,,19982,1,,13,3.0,4,1,10.0,5,3.0,10,7,7,1979,no,
31,no,travel_rarely,1332.0,research_and_development,11,2,,"1251,0",3,female,80.0,3,2,healthcare_representative,1,married,,17089,1,yes,12,,4,0,6.0,2,2.0,6,0,1,1992,no,
26,no,,583.0,research_and_development,4,2,life_sciences,,3,female,53.0,3,1,research_scientist,4,,,9973,1,yes,20,4.0,2,0,,2,2.0,8,2,2,1997,no,
47,no,travel_rarely,465.0,,1,3,,"1438,0",1,female,74.0,3,1,research_scientist,4,,3420.0,10205,7,no,12,3.0,3,1,17.0,2,2.0,6,1,2,1976,yes,
37,no,,1413.0,research_and_development,5,2,,,3,female,84.0,4,1,laboratory_technician,3,single,,25470,0,no,14,3.0,1,0,7.0,2,1.0,6,1,3,1986,no,
32,no,,1200.0,,1,4,,"1574,0",4,female,,3,2,research_scientist,1,married,4087.0,25174,4,,14,3.0,2,1,9.0,3,2.0,6,1,2,1991,yes,
32,no,,977.0,,2,3,medical,"1671,0",4,female,45.0,3,2,research_scientist,2,divorced,,25518,0,no,13,3.0,3,2,10.0,4,2.0,9,1,6,1991,yes,
33,no,non_travel,530.0,,16,3,life_sciences,,3,male,36.0,3,2,sales_executive,4,,5368.0,16130,1,yes,25,4.0,3,1,7.0,2,3.0,6,1,2,1990,no,
47,yes,,1093.0,sales,9,3,,,3,female,82.0,1,4,sales_executive,3,married,12936.0,24164,7,no,11,,3,0,25.0,3,1.0,23,14,10,1976,yes,
41,yes,,1102.0,,1,2,,,2,male,94.0,3,2,sales_executive,4,,,19479,8,yes,11,3.0,1,0,8.0,0,1.0,6,0,5,1982,no,
35,no,travel_rarely,809.0,research_and_development,16,3,medical,,1,female,84.0,4,1,laboratory_technician,2,married,,16479,0,,13,3.0,3,1,6.0,5,3.0,5,0,3,1988,no,
29,no,travel_rarely,1328.0,,2,3,life_sciences,"94,0",3,female,76.0,3,1,research_scientist,2,married,,4956,0,no,23,4.0,4,1,,3,3.0,5,0,4,1994,no,
32,no,travel_rarely,548.0,,1,3,life_sciences,,2,female,66.0,3,2,research_scientist,2,,,7346,1,no,17,3.0,2,2,10.0,3,3.0,10,0,9,1991,yes,
35,no,travel_rarely,1214.0,,1,3,medical,,2,female,30.0,2,1,research_scientist,3,single,,26278,1,no,18,3.0,1,0,6.0,3,3.0,6,0,4,1988,no,
56,no,,,,13,3,,"112,0",4,female,,1,3,manufacturing_director,4,,,21698,4,no,11,3.0,1,0,37.0,3,2.0,6,0,2,1967,yes,
28,no,,120.0,,4,3,medical,"129,0",2,female,43.0,3,2,sales_executive,3,,4221.0,8863,1,,15,3.0,2,0,5.0,3,4.0,5,0,4,1995,yes,
25,yes,travel_rarely,240.0,,5,3,,"142,0",3,female,46.0,2,2,sales_executive,3,single,,26959,1,yes,11,3.0,4,0,,1,3.0,6,0,3,1998,yes,
56,yes,,441.0,,14,4,life_sciences,"161,0",2,male,72.0,3,1,research_scientist,2,,4963.0,4510,9,,18,3.0,1,3,7.0,2,3.0,5,4,3,1967,yes,
26,no,,841.0,research_and_development,6,3,,"164,0",3,male,46.0,2,1,research_scientist,2,married,,23300,1,,19,3.0,3,0,5.0,3,2.0,5,4,3,1997,no,
32,yes,,1033.0,,9,3,medical,"190,0",1,male,41.0,3,1,laboratory_technician,1,,4200.0,10224,7,no,22,4.0,1,0,,2,4.0,5,0,4,1991,no,
30,no,travel_rarely,,,18,3,life_sciences,"194,0",1,male,75.0,3,1,research_scientist,3,single,,23910,1,no,14,3.0,3,0,,4,2.0,5,0,4,1993,yes,
50,no,travel_rarely,1452.0,,11,3,,"226,0",3,male,53.0,3,5,manager,2,,,17053,3,,15,3.0,2,0,,5,3.0,5,4,4,1973,no,
32,no,,120.0,,6,5,life_sciences,"231,0",3,female,43.0,3,1,research_scientist,3,,,12430,3,no,20,4.0,1,0,8.0,2,,5,1,4,1991,no,
45,no,travel_rarely,1268.0,,4,2,,"240,0",3,male,30.0,3,2,sales_executive,1,,5006.0,6319,4,,11,3.0,1,1,9.0,3,4.0,5,0,3,1978,no,
43,no,,,,7,3,,"262,0",4,female,37.0,4,1,research_scientist,4,divorced,,5228,4,no,14,3.0,4,3,7.0,3,4.0,5,2,2,1980,yes,
